cell_id,strain,well,condition,batch,strain_group
B6G7_A1_S1_L001,B6G7,A1,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A10_S10_L001,B6G7,A10,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A11_S11_L001,B6G7,A11,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A12_S12_L001,B6G7,A12,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A2_S2_L001,B6G7,A2,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A3_S3_L001,B6G7,A3,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A4_S4_L001,B6G7,A4,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A5_S5_L001,B6G7,A5,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A6_S6_L001,B6G7,A6,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A7_S7_L001,B6G7,A7,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A8_S8_L001,B6G7,A8,CD45pos_MHCIIpos,batch1,B6G7
B6G7_A9_S9_L001,B6G7,A9,CD45pos_MHCIIpos,batch1,B6G7
B6G7_B1_S13_L001,B6G7,B1,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B10_S22_L001,B6G7,B10,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B11_S23_L001,B6G7,B11,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B12_S24_L001,B6G7,B12,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B2_S14_L001,B6G7,B2,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B3_S15_L001,B6G7,B3,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B4_S16_L001,B6G7,B4,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B5_S17_L001,B6G7,B5,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B6_S18_L001,B6G7,B6,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B7_S19_L001,B6G7,B7,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B8_S20_L001,B6G7,B8,CD45neg_MHCIIlo,batch1,B6G7
B6G7_B9_S21_L001,B6G7,B9,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C1_S25_L001,B6G7,C1,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C10_S34_L001,B6G7,C10,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C11_S35_L001,B6G7,C11,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C12_S36_L001,B6G7,C12,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C2_S26_L001,B6G7,C2,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C3_S27_L001,B6G7,C3,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C4_S28_L001,B6G7,C4,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C5_S29_L001,B6G7,C5,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C6_S30_L001,B6G7,C6,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C7_S31_L001,B6G7,C7,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C8_S32_L001,B6G7,C8,CD45neg_MHCIIlo,batch1,B6G7
B6G7_C9_S33_L001,B6G7,C9,CD45neg_MHCIIlo,batch1,B6G7
B6G7_D1_S37_L001,B6G7,D1,CD45neg_MHCIIlo,batch1,B6G7
B6G7_D10_S46_L001,B6G7,D10,CD45neg_MHCIIlo,batch1,B6G7
